country,emit,gdpcap,renewable,popdense,consumption,investment,govspend
Lebanon,4.134596535,7643.008718,2.603826919,638.5807429,90.8051835,21.71920203,12.53174443
Lesotho,0.315685529,1146.064688,100,67.81986166,76.55638458,28.33880597,36.94290695
Libya,7.997426401,7590.442981,0,3.647723269,44.2315323,17.09444769,50.83646534
Lithuania,3.810789214,14263.96458,39.40817285,46.36727853,62.51460342,19.61116646,17.21267333
Luxembourg,16.02867977,105462.0126,32.38166792,221.2518353,32.53442816,17.30945547,15.96816419
Madagascar,0.135346585,467.2354316,54.59645655,41.65362668,73.30690457,18.95947254,15.1403202
Malaysia,7.814088295,9955.242722,9.957168455,92.13503272,53.96186666,25.86564353,13.0865608
Maldives,3.011558239,9033.41027,1.277204455,1516.38,41.07774828,33.0436254,18.17048255
Mali,0.209303734,751.4728892,43.51635514,14.29184963,78.41977415,18.35565181,16.37155075
Malta,3.729892769,24921.60368,7.674597084,1390.790625,49.00569336,24.19964192,17.08805214
Marshall Islands,2.611238875,3199.886846,0.233372229,319.1333333,76.69403305,16.69511023,54.6008662
Mauritania,0.879815244,1524.073317,13.37325349,3.925782478,63.8772434,34.30246438,14.61777659
Mauritius,3.136372847,9260.447303,22.72272272,621.9729064,74.70388614,17.35940843,14.93340945
Mexico,3.870316544,9616.645558,15.39413379,62.68589779,65.41197378,22.43070878,12.3171959
Moldova,2.829393394,2732.46073,5.368576588,98.70564474,87.43990962,24.29274582,14.5048571
Mongolia,5.769680109,3875.321675,3.083620533,1.925460011,61.89994054,18.27690081,14.87177395
Montenegro,3.793242395,6517.189614,49.65034965,46.25717472,79.16178685,20.14706752,19.19588717
Morocco,1.742749914,2875.258057,14.30889033,77.66885055,57.51971254,28.3689458,19.27729136
Mozambique,0.204126905,589.8594314,86.41088736,34.3879562,64.57589632,31.33179421,25.92734012
Myanmar,0.361422537,1196.743333,58.85410144,80.66503951,46.88147681,32.9134276,20.96328599
Namibia,1.814332366,4896.61526,97.78645833,2.811768636,68.71214011,30.98773425,27.22858259
Nepal,0.266148113,901.7496077,100,188.455061,83.56273312,27.55380746,8.811996996
Netherlands,9.292250246,45193.40322,12.44208231,503.1162162,45.04527484,22.10597558,24.97855097
New Zealand,7.003080396,38630.72659,80.08143875,17.50560176,57.35724916,22.90906243,18.49651445
Nicaragua,0.846826583,2049.851666,50.05459707,51.71376101,70.49786171,29.26343157,14.05234867
Niger,0.105491223,484.1531374,0.753295669,15.79037104,67.33630661,32.6070143,16.49756097
Nigeria,0.594907347,2687.480056,18.19512506,198.8838609,78.57476948,14.82717543,5.935159057
North Macedonia,3.579319286,4861.553971,35.93694651,82.08667724,68.84251656,23.90661843,16.97635226
Norway,7.610906295,74355.51586,97.70987062,14.20793848,43.52924689,23.8343606,23.23902149
Oman,16.43412074,18444.927,0,13.7878546,36.0636129,34.01135992,24.63827017
Pakistan,0.823008136,1356.667831,31.43034972,258.7003853,79.76628424,14.10703213,10.9725341
Panama,2.69623958,13630.30115,65.32634033,53.54141932,51.52563682,39.43284193,10.28549404
Paraguay,0.952345908,5413.776021,99.99820608,16.83550466,63.72665664,19.39979321,11.80317505
Peru,1.790242082,6229.100674,52.73051336,23.80526484,65.31743038,23.08856814,12.96557338
Philippines,1.087126793,3001.043182,25.41346632,342.4663984,72.47288809,22.23164338,10.91164166
Poland,7.610089275,12578.49547,13.80239867,124.0615696,58.58019934,20.07037874,18.06844882
Portugal,4.812669696,19250.10654,47.52637429,113.0725196,65.55465869,15.5172193,17.85068282
Romania,3.700112058,8969.148921,39.7469737,86.12489569,61.67260288,24.79152793,14.01625357
Russian Federation,11.05201007,9313.013672,15.85579515,8.798804045,52.67982871,20.6115488,17.76538922
